id,created_at,favorite_count,retweet_count,text
1354276031671250946,2021-01-27 03:52:21,9,1,"දිනෙන් දින වැඩිවන බ්‍රිතාන්‍යයේ කොවිඩ් මරණ

බ්‍රිතාන්‍යයේ සමස්ත කොවිඩ් ආසාදිත මරණ සංඛ්‍යාව ලක්ෂය ඉක්මවා ගොස් තිබේ.
#adaderanasinhala

වැඩි විස්තර - https://t.co/MtAFB5kbHa https://t.co/eUo2lKergW"
1354274047803203585,2021-01-27 03:44:28,9,3,"යුරෝපා සංගමය සහ රජය අතර එකඟතාවයක්

මානව හිමිකම් සහ ප්‍රතිසංවිධාන ගැටලු පිළිබඳව අඛණ්ඩව සමීපව කටයුතු කිරීමට යුරෝපා සංගමය සහ මෙරට රජය එකඟ වී තිබේ.
#adaderanasinhala #lka #slnews

වැඩි විස්තර -https://t.co/V7ePlYCZER https://t.co/jZNt6ZRdcK"
1354264338446561286,2021-01-27 03:05:53,4,1,"එන්නත් රැගත් ගුවන් යානය හෙට දිවයිනට

මෙරට පැතිර යන කොවිඩ් -19 වසංගත තත්ත්වය පාලනය කිරීම සඳහා..
#adaderanasinhala #lka #slnews #slcovid19 
වැඩි විස්තර -  https://t.co/JONCT65L1F https://t.co/jlB8aRbiuL"
1354258543235493891,2021-01-27 02:42:52,6,3,"මුතුරාජවෙල බේරා ගැනීමට ඉල්ලූ නියෝගය

මුතුරාජවෙල තෙත්බිම් කලාපය තුළ නීති විරෝධී හා අනවසර ඉදිකිරීම් රාශියක් සිදුවෙමින් පවතින බව..
#adaderanasinhala #lka #slnews #slcovid19 
වැඩි විස්තර - https://t.co/fhhiEuQUwA https://t.co/lttGaGUthK"
1354251146081271808,2021-01-27 02:13:28,7,2,"මීටියාගොඩ අමානුෂික ඝාතනයේ සැකකරුවන් පොලීසියට ඉදිරිපත් වෙයි

ඝාතනය සඳහා උපයෝගී කරගත් උල් පිහි 02ක්, කඩුවක් සහ මන්නා පිහියක් ද..
#adaderanasinhala #lka #slnews #slcovid19 
වැඩි විස්තර -https://t.co/7zdMNVFul6 https://t.co/1d9VC6jvbE"
1354232431721779201,2021-01-27 00:59:06,11,1,"උණුසුම් පුවත් දැනගන්න
පිවිසෙන්න - https://t.co/OTH1cvJv0h
#adaderanasinhala #lka #slnews #slcovid19 https://t.co/nVD740bNVQ"
1354230972057849856,2021-01-27 00:53:18,7,2,"අද කාලගුණය

බස්නාහිර, මධ්‍යම සහ සබරගමුව පළාත්වල උදෑසන කාලයේදී..
#adaderanasinhala #lka #slnews
වැඩි විස්තර - https://t.co/o93d454kDR https://t.co/BCYaF1wcO0"
1354110589145120776,2021-01-26 16:54:57,7,5,"සහරාන්ලා ගැන අනතුරු ඇඟෙව්වා, හිටපු ජනපති උනන්දුවක් දැක්වූයේ නෑ - ශානි කියයි

මාවනැල්ලේ බුදු පිළිම කැඩීම සහ වනාතවිල්ලුවෙන් පුපුරණ ද්‍රව්‍ය සොයාගැනීම යන සිද්ධීන්වලට එකමග...
#adaderanasinhala #lka #slnews 

වැඩි විස්තර - https://t.co/SnL5h2f88E https://t.co/z5k7uXDAyf"
1354110276694650882,2021-01-26 16:53:42,4,3,"කොවිඩ් එන්නත් නිපදවීමට රට තුළින් ම යෝජනා ඉදිරිපත් වෙනවා - විශේෂඥ වෛද්‍ය අමල්

මෙරට තුළ ද කොවිඩ් එන්නත් නිපදවීම සඳහා යෝජනා ඉදිරිපත්ව ඇති බව ප්‍රාථමික සෞඛ්‍ය...
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/2hN21iLTxO https://t.co/Vxc5liaTAX"
1354097951833018369,2021-01-26 16:04:44,6,4,"දෛනික ආසාදිතයින් 700 ඉක්මවයි

කොවිඩ් -19 වෛරසය ආසාදනය වූ තවත් රෝගීන් 379 දෙනෙකු අද (26) දිනයේ අලුතින් හඳුනාගෙන ඇති බව යුද හමුදාපති ජෙනරාල් ශවේන්ද්‍ර සිල්වා මහතා පැවසීය.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/IWmlETOre9 https://t.co/mcjtJwIxQb"
1354097552732389376,2021-01-26 16:03:09,4,3,"අටුලුගම ග්‍රාම නිලධාරී වසම් කිහිපයක හුදකලාබව ඉවතට

තවත් ප්‍රදේශ කිහිපයකට පනවා තිබු සංචරණ සීමා ඉවත්කර තිබේ. 
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/JaZTV5QKOo https://t.co/YDdoG2WJjz"
1354090616746029057,2021-01-26 15:35:35,14,4,"එන්නත ආවත් සෞඛ්‍ය පුරුදු වෙනස් නොවිය යුතුයි - GMOA

කොවිඩ් එන්නත මෙරටට ගෙන එනු ලැබුවද ලබාදී ඇති සෞඛ්‍ය උපදෙස් ඒ අයුරින්ම අනුගමනය කළයුතු බව රජයේ වෛද්‍ය නිලධාරීන්ගේ සංගමය පවසයි.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/uNddCxx6J5 https://t.co/qtLDG4huJm"
1354067770644824065,2021-01-26 14:04:48,19,3,"අරලගංවිලින් හමුවූ ගිනි අවි

පොළොන්නරුව අරලගංවිල පොලිස් වසමේ සොරිවිල ගම්මානයේ දින කිහිපයක් තුළ සිදුකළ මෙහෙයුමකදී මෙරට නිෂ්පාදිත ගිනි අවි 15ක් සොයාගැනීමට පොලීසිය සමත් වී තිබේ.
#adaderanasinhala #lka #slnews 

වැඩි විස්තර -https://t.co/0Q72PVER5G https://t.co/bviP96vsMH"
1354066499263197185,2021-01-26 13:59:45,9,3,"කොවිඩ් ආසාදිත බව කියූ මන්ත්‍රී තවමත් නිවසේ

ඒ අනුව මන්ත්‍රීවරයා, සිය පවුලේ සාමාජිකයින්, කාර්යමණ්ඩලය සහ ආශ්‍රිතයෙක් වූ යටිනුවර ප්‍රාදේශීය සභාවේ මන්ත්‍රීවරයෙක්ද සමග..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර - https://t.co/4pgNOc6xl4 https://t.co/ZjQ5KwJvzp"
